,EXP,REXP,SEXP
691,419,278.025,114
692,420,279.011,201
693,423,282.01,116
694,424,282.9770000000001,117
695,95,73.8756,18
696,426,284.582,206
697,430,287.744,118
698,97,75.2925,20
699,70,50.5497,15
700,431,286.584,74
701,432,287.583,75
702,98,75.9161,18
703,433,288.459,69
704,434,289.446,119
705,435,290.19,190
706,437,292.074,46
707,438,293.074,47
708,439,294.043,48
709,586,384.256,424
710,440,294.481,246
711,443,297.307,122
712,444,298.05,77
713,448,301.988,96
714,451,304.972,17
715,60,35.8198,58
716,452,305.891,123
717,71,51.1514,31
718,73,53.1365,28
719,75,55.1363,21
720,76,56.128,35
721,457,310.28,18
722,458,309.289,203
723,460,310.877,125
724,462,311.525,50
725,101,77.2599,34
726,21,16.9086,1
727,463,311.961,51
728,66,41.1952,35
729,22,14.1499,2
730,464,311.435,329
731,468,315.18,53
732,68,42.9769,37
733,70,44.9758,15
734,78,56.8757,9
735,0,0.0,0
736,2,1.99716,2
737,4,3.98482,2
738,5,4.98479,3
739,471,316.084,208
740,473,317.629,128
741,80,58.0387,23
742,71,45.3491,24
743,6,5.88981,4
744,81,58.9065,55
745,104,78.2908,14
746,105,79.2846,15
747,106,80.2739,16
748,72,46.228,8
749,107,81.0674,17
750,108,81.961,15
751,110,83.9577,23
752,7,6.846210000000001,5
753,8,7.84618,6
754,23,14.8383,3
755,113,86.7556,33
756,115,88.7532,35
757,117,90.204,24
758,118,90.4134,18
759,474,309.944,235
760,87,63.2002,41
761,89,65.1809,17
762,90,66.1658,12
763,9,8.59707,7
764,0,0.0,0
765,480,313.355,54
766,6,5.98715,0
767,481,313.384,83
768,8,7.94193,2
769,10,9.46429,8
770,91,66.2159,16
771,119,89.5019,19
772,120,89.7443,20
773,121,90.68,66
774,124,93.6727,48
775,9,8.75202,1
776,607,373.608,62
777,485,310.637,215
778,487,311.873,55
779,95,68.8706,17
780,96,69.7854,29
781,489,312.677,136
782,98,71.6106,18
783,610,372.612,132
784,126,93.4526,50
785,131,98.3349,44
786,133,100.335,46
787,493,312.746,131
788,494,313.565,219
789,496,314.524,56
790,139,105.224,24
791,140,106.224,25
792,141,107.2,26
793,142,108.199,27
794,498,314.933,134
795,499,315.931,404
796,504,320.806,89
797,505,321.806,90
798,507,323.74,137
799,508,324.715,91
800,73,43.5946,8
801,102,73.5872,49
802,104,75.5738,51
803,510,322.903,150
804,512,324.552,93
805,513,325.551,59
806,514,326.233,60
807,74,44.1181,25
808,515,326.9290000000001,155
809,517,328.86800000000005,95
810,518,326.946,138
811,23,16.3719,3
812,519,325.944,450
813,525,331.936,257
814,529,335.19199999999995,162
815,531,337.161,305
816,534,340.156,101
817,535,341.151,102
818,536,340.89,53
819,537,341.6230000000001,142
820,538,342.3230000000001,65
821,539,343.319,66
822,540,344.029,103
823,143,104.28,52
824,541,344.87,104
825,75,44.0961,26
826,543,346.574,105
827,544,347.57,106
828,545,348.494,67
829,546,349.482,68
830,547,350.42800000000005,107
831,548,351.261,450
