,EXP,REXP,SEXP
1077,575,392.66,548
1078,578,395.656,551
1079,581,398.656,554
1080,168,134.601,151
1081,171,137.6,154
1082,83,57.8897,10
1083,86,60.8891,13
1084,174,140.55100000000002,113
1085,176,142.55,115
1086,89,63.7504,16
1087,92,66.7503,19
1088,584,399.789,557
1089,587,402.788,560
1090,135,121.478,127
1091,138,124.478,130
1092,141,127.478,42
1093,142,128.157,43
1094,143,129.157,44
1095,144,130.144,136
1096,147,133.144,139
1097,178,143.563,161
1098,181,146.563,164
1099,184,149.547,46
1100,185,150.547,47
1101,150,136.058,51
1102,151,137.05700000000002,52
1103,590,404.37,411
1104,592,406.37,413
1105,95,69.3066,89
1106,98,72.3066,92
1107,69,46.9891,64
1108,72,49.9887,67
1109,152,137.697,144
1110,186,150.174,121
1111,188,152.174,123
1112,101,74.816,85
1113,103,76.8149,87
1114,594,405.083,567
1115,597,408.082,570
1116,600,410.52,154
1117,601,411.519,155
1118,236,129.657,0
1119,236,129.657,0
1120,190,153.446,173
1121,602,410.855,575
1122,605,413.849,216
1123,155,138.602,147
1124,158,141.599,150
1125,193,155.811,65
1126,161,144.245,153
1127,164,147.028,51
1128,420,226.227,143
1129,421,227.225,144
1130,607,406.93199999999996,579
1131,610,409.912,582
1132,422,225.84,145
1133,423,226.82299999999998,146
1134,165,144.67700000000002,157
1135,613,412.564,426
1136,615,414.066,587
1137,618,416.30699999999996,590
1138,424,227.145,399
1139,621,418.23900000000003,161
1140,427,229.37099999999998,177
1141,429,231.37099999999998,179
1142,168,144.487,160
1143,171,147.161,164
1144,175,151.125,166
1145,75,50.2373,53
1146,622,410.67699999999996,594
1147,105,74.3697,28
1148,625,413.474,597
1149,628,416.474,600
1150,631,419.471,603
1151,178,152.702,56
1152,432,226.852,282
1153,194,147.77700000000002,67
1154,179,150.85,61
1155,180,151.827,2
1156,181,152.17600000000002,62
1157,196,147.188,115
1158,198,149.188,63
1159,431,225.88400000000001,235
1160,434,228.864,238
1161,246,130.726,33
1162,199,148.971,64
1163,200,149.971,117
1164,108,74.915,31
1165,202,151.678,133
1166,182,151.041,63
1167,183,152.041,173
1168,186,154.763,111
1169,634,408.342,606
1170,437,229.43900000000002,329
1171,439,231.437,331
1172,637,411.26099999999997,442
1173,639,413.259,611
1174,642,416.208,614
1175,645,419.17199999999997,617
1176,648,422.13,620
1177,651,424.105,623
1178,654,426.749,454
1179,656,428.74699999999996,239
1180,111,77.1335,26
1181,657,428.754,629
1182,188,154.575,124
1183,190,154.387,180
1184,193,157.018,183
1185,196,160.018,118
1186,441,228.446,181
1187,660,421.309,632
1188,663,424.11800000000005,635
1189,247,127.714,148
1190,442,228.127,334
1191,444,230.08900000000003,153
1192,445,230.775,183
1193,446,231.739,184
1194,666,424.955,638
1195,447,232.692,339
1196,204,146.866,135
1197,113,76.5168,28
1198,198,159.195,188
1199,449,234.365,341
1200,669,427.11199999999997,641
1201,672,429.5,644
1202,675,432.499,647
1203,115,78.3047,38
1204,201,160.471,69
1205,202,161.47,192
1206,678,432.148,650
1207,681,435.148,653
1208,451,233.898,343
1209,453,235.898,157
1210,454,236.827,346
1211,456,238.82299999999998,0
1212,121,83.1976,26
1213,456,238.445,193
1214,205,163.269,124
1215,207,164.84400000000002,197
1216,684,433.445,656
1217,206,145.59,67
1218,47,31.1998,30
1219,123,84.2164,28
1220,687,434.024,659
1221,690,436.935,183
1222,210,161.826,128
1223,212,163.558,202
1224,691,427.30300000000005,18
1225,207,141.523,189
1226,49,32.1741,40
1227,458,232.50799999999998,349
1228,692,426.24800000000005,228
1229,693,425.131,480
1230,695,427.13,482
1231,697,429.12699999999995,668
1232,700,432.12699999999995,671
1233,703,434.904,674
1234,706,437.904,677
1235,460,233.03900000000002,191
1236,215,163.28,132
1237,210,141.565,192
1238,249,121.756,82
1239,217,163.908,134
1240,213,144.28799999999998,195
1241,709,434.626,254
1242,711,436.60400000000004,236
1243,251,123.416,34
1244,219,164.90599999999998,144
1245,712,436.168,682
1246,216,146.658,71
1247,217,147.657,72
1248,218,148.64600000000002,54
1249,461,230.237,431
1250,715,436.936,685
1251,718,439.93,688
1252,721,442.923,691
1253,724,445.92199999999997,694
1254,727,448.92,435
1255,252,123.68299999999999,79
1256,729,450.82599999999996,262
1257,253,124.67399999999999,80
1258,52,34.1082,43
1259,730,451.101,263
1260,221,165.503,137
1261,731,451.291,20
1262,223,167.118,139
1263,225,169.11599999999999,215
1264,228,172.114,218
1265,732,452.00800000000004,701
1266,735,454.855,704
1267,738,454.05699999999996,268
1268,741,457.034,708
1269,744,460.033,711
1270,747,462.91,273
1271,750,465.904,276
1272,231,172.549,145
1273,254,123.88600000000001,198
1274,257,126.866,35
1275,754,463.35900000000004,716
1276,219,144.17600000000002,201
1277,757,464.38599999999997,269
1278,758,465.381,199
1279,759,465.685,251
1280,464,226.85,354
1281,222,146.053,130
1282,225,149.011,83
1283,228,152.002,207
1284,231,155.001,75
1285,232,155.999,211
1286,235,158.781,214
1287,238,161.743,60
1288,239,162.74,61
1289,240,163.69299999999998,62
1290,241,164.69099999999997,63
1291,242,165.41299999999998,64
1292,243,166.408,65
1293,760,461.57300000000004,722
1294,763,464.56699999999995,725
1295,766,467.565,202
1296,767,468.565,729
1297,770,471.561,732
1298,773,474.561,735
1299,776,477.55,762
1300,780,481.54699999999997,766
1301,784,485.399,744
1302,787,488.398,747
1303,244,166.71200000000002,223
1304,790,487.155,750
1305,793,488.435,753
1306,258,123.885,36
1307,796,490.517,493
1308,798,489.94199999999995,289
1309,247,166.192,226
1310,250,169.15,161
1311,800,489.91,264
1312,55,34.5847,47
1313,236,167.358,149
1314,59,38.4634,53
1315,252,169.239,231
1316,255,172.237,234
1317,801,486.73400000000004,265
1318,238,168.333,228
1319,258,175.21099999999998,237
1320,64,43.2857,25
1321,802,487.51300000000003,479
1322,804,488.88599999999997,267
1323,241,171.007,231
1324,244,173.983,155
1325,805,489.779,268
1326,806,489.85,765
1327,809,492.848,768
1328,246,175.593,82
1329,247,176.59099999999998,158
1330,812,495.785,27
1331,813,496.769,28
1332,814,497.7,29
1333,261,177.128,240
1334,249,177.976,160
1335,264,179.815,243
1336,251,179.918,241
1337,66,44.8303,44
1338,69,47.8301,43
1339,815,495.405,284
1340,254,181.862,244
1341,259,121.929,201
1342,816,495.289,772
1343,819,498.24699999999996,775
1344,257,184.502,247
1345,822,500.45300000000003,287
1346,71,49.3071,49
1347,74,52.3071,4
1348,75,53.3059,52
1349,262,124.16799999999999,130
1350,823,496.945,779
1351,826,499.944,782
1352,264,125.67200000000001,206
1353,267,128.475,37
1354,268,129.474,209
